epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,855.912,1.01206,0.57889,1.10976,0.91547,0.8082,0.87898,0.47963,1.45974,0.81666,1.37063,0.00058925,0.00058925,0.00058925
59,870.245,1.07778,0.61125,1.1404,0.90673,0.80597,0.88656,0.49944,1.37531,0.77791,1.31315,0.0005645,0.0005645,0.0005645
60,883.21,1.01508,0.56538,1.10393,0.91501,0.80351,0.83556,0.48308,1.45062,0.80734,1.3542,0.00053975,0.00053975,0.00053975
61,898.856,1.04356,0.57605,1.11957,0.93072,0.80205,0.81972,0.4672,1.47075,0.90194,1.36648,0.000515,0.000515,0.000515
62,913.529,1.00643,0.5761,1.09871,0.94712,0.8209,0.89354,0.4904,1.46515,0.76579,1.37127,0.00049025,0.00049025,0.00049025
63,927.896,0.98442,0.55976,1.09117,0.90589,0.86207,0.90233,0.4963,1.43114,0.71845,1.34975,0.0004655,0.0004655,0.0004655
64,944.051,0.98317,0.56094,1.10805,0.93405,0.84554,0.90583,0.49879,1.4398,0.72714,1.34759,0.00044075,0.00044075,0.00044075
65,961.405,0.97436,0.54179,1.07269,0.8682,0.91045,0.91153,0.51909,1.42223,0.7037,1.34342,0.000416,0.000416,0.000416
66,978.404,0.97309,0.55928,1.0848,0.88219,0.8806,0.90405,0.50437,1.4644,0.74054,1.36956,0.00039125,0.00039125,0.00039125
67,995.551,0.96797,0.54973,1.09048,0.8872,0.8806,0.90469,0.49905,1.40832,0.74168,1.34321,0.0003665,0.0003665,0.0003665
68,1010.67,0.94214,0.53162,1.07721,0.87455,0.89552,0.8996,0.51003,1.42947,0.71449,1.35924,0.00034175,0.00034175,0.00034175
69,1023.45,0.95877,0.54621,1.05301,0.91476,0.85075,0.90944,0.51134,1.45054,0.71318,1.37904,0.000317,0.000317,0.000317
70,1036.36,0.9124,0.50564,1.06899,0.9149,0.85075,0.91473,0.50522,1.45237,0.75194,1.36814,0.00029225,0.00029225,0.00029225
71,1049.71,0.9538,0.52401,1.06698,0.9132,0.8209,0.90378,0.49347,1.42227,0.77379,1.34771,0.0002675,0.0002675,0.0002675
72,1063.65,0.92336,0.49022,1.0579,0.91098,0.8209,0.88404,0.49564,1.42886,0.84931,1.34524,0.00024275,0.00024275,0.00024275
73,1077.17,0.94356,0.49522,1.06572,0.94758,0.80952,0.91211,0.50471,1.3901,0.78653,1.32018,0.000218,0.000218,0.000218
74,1091.78,0.89712,0.47703,1.03468,0.91789,0.83422,0.90853,0.52512,1.36411,0.75838,1.3205,0.00019325,0.00019325,0.00019325
75,1106.09,0.87758,0.4647,1.04152,0.93423,0.8209,0.92696,0.53104,1.39179,0.72825,1.33846,0.0001685,0.0001685,0.0001685
76,1119.34,0.9093,0.46343,1.05127,0.93535,0.86375,0.93047,0.53561,1.38734,0.71859,1.33753,0.00014375,0.00014375,0.00014375
77,1132.78,0.89235,0.46136,1.01545,0.92015,0.86567,0.93029,0.52885,1.39528,0.72081,1.33929,0.000119,0.000119,0.000119
78,1146.48,0.8642,0.45947,1.01794,0.91771,0.86567,0.93016,0.52178,1.41647,0.72503,1.35206,9.425e-05,9.425e-05,9.425e-05
79,1159.11,0.87995,0.46221,1.04027,0.91537,0.86567,0.92766,0.52135,1.42118,0.7309,1.3533,6.95e-05,6.95e-05,6.95e-05
80,1171.38,0.83078,0.43805,1.02946,0.93024,0.85075,0.92033,0.51983,1.40397,0.73555,1.34876,4.475e-05,4.475e-05,4.475e-05
